                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.84293,                0.60499,                 1.2586,                0.90954,                0.89523,                0.94422,                0.68276,                 1.0293,                0.57753,                 1.5739,             0.00052504,             0.00052504,             0.00052504
                     67,                0.84424,                0.61767,                 1.2597,                0.92619,                0.88046,                0.94126,                 0.6789,                 1.0225,                0.57407,                 1.5687,             0.00051904,             0.00051904,             0.00051904
                     68,                0.83433,                0.59967,                 1.2569,                0.89501,                0.89393,                0.94127,                0.68606,                  1.022,                0.57427,                 1.5589,             0.00051304,             0.00051304,             0.00051304
                     69,                0.83822,                0.60097,                 1.2617,                 0.9024,                0.90521,                0.94534,                0.67983,                 1.0296,                0.57896,                 1.5699,             0.00050704,             0.00050704,             0.00050704
                     70,                0.83772,                0.60014,                  1.262,                0.91202,                0.90433,                0.93992,                0.68673,                 1.0284,                 0.5797,                 1.5617,             0.00050104,             0.00050104,             0.00050104
                     71,                0.83774,                0.59323,                 1.2606,                0.88689,                0.91339,                0.92674,                0.67041,                 1.0311,                0.59574,                  1.571,             0.00049504,             0.00049504,             0.00049504
                     72,                0.82424,                0.58224,                 1.2477,                0.91679,                0.87883,                0.94063,                0.67852,                 1.0397,                 0.5714,                 1.5806,             0.00048904,             0.00048904,             0.00048904
                     73,                0.82552,                0.58489,                 1.2488,                0.88658,                0.88895,                  0.938,                0.67354,                 1.0364,                0.57659,                  1.593,             0.00048304,             0.00048304,             0.00048304
                     74,                 0.8199,                0.57937,                 1.2476,                0.91323,                 0.8867,                0.94025,                0.67811,                 1.0298,                0.58389,                 1.5818,             0.00047704,             0.00047704,             0.00047704
                     75,                0.80877,                0.55781,                 1.2426,                0.91207,                0.88721,                0.93571,                0.68296,                 1.0143,                0.58634,                 1.5607,             0.00047104,             0.00047104,             0.00047104
                     76,                0.81381,                0.56343,                 1.2427,                0.91334,                0.87378,                0.93274,                 0.6784,                 1.0182,                0.58262,                 1.5724,             0.00046504,             0.00046504,             0.00046504
                     77,                0.82167,                0.57856,                 1.2524,                  0.907,                0.89894,                0.93747,                0.68008,                 1.0261,                0.57822,                 1.5811,             0.00045904,             0.00045904,             0.00045904
                     78,                0.80524,                0.56881,                   1.24,                0.91989,                0.87561,                 0.9365,                0.68386,                 1.0154,                0.56268,                 1.5713,             0.00045305,             0.00045305,             0.00045305
                     79,                0.80351,                0.56536,                 1.2323,                0.91099,                0.89629,                 0.9363,                0.68386,                 1.0167,                0.58363,                 1.5631,             0.00044705,             0.00044705,             0.00044705
                     80,                0.79863,                0.56151,                 1.2353,                0.90196,                0.89996,                0.93774,                0.68249,                 1.0177,                0.57782,                 1.5729,             0.00044105,             0.00044105,             0.00044105
                     81,                0.79242,                0.55875,                 1.2221,                0.92475,                0.88684,                0.93636,                0.66842,                 1.0174,                0.57243,                 1.5731,             0.00043505,             0.00043505,             0.00043505
                     82,                0.77248,                0.54316,                 1.2201,                0.92013,                0.88053,                0.92658,                0.67679,                 1.0197,                0.60373,                 1.5791,             0.00042905,             0.00042905,             0.00042905
                     83,                0.78138,                0.54958,                 1.2313,                0.86979,                0.90147,                 0.9335,                 0.6783,                 1.0163,                0.57645,                 1.5727,             0.00042305,             0.00042305,             0.00042305
                     84,                 0.7805,                0.56076,                 1.2201,                0.90692,                0.88118,                0.93183,                0.67945,                 1.0451,                0.59372,                 1.6035,             0.00041705,             0.00041705,             0.00041705
                     85,                0.76644,                0.53715,                 1.2147,                0.90134,                0.90005,                0.94098,                0.68622,                 1.0308,                  0.571,                 1.5879,             0.00041105,             0.00041105,             0.00041105
                     86,                0.76594,                0.52458,                 1.2185,                0.92376,                0.89822,                 0.9373,                0.67843,                 1.0339,                0.58193,                 1.5935,             0.00040505,             0.00040505,             0.00040505
                     87,                0.76933,                 0.5397,                 1.2109,                 0.9211,                 0.8936,                0.94027,                0.68805,                 1.0218,                0.57653,                 1.5859,             0.00039905,             0.00039905,             0.00039905
                     88,                0.76176,                0.53448,                 1.2124,                0.91532,                0.86421,                0.93034,                0.68007,                 1.0252,                0.58936,                 1.5833,             0.00039305,             0.00039305,             0.00039305
                     89,                0.76293,                0.52314,                 1.2121,                0.92471,                0.87061,                0.94007,                0.68213,                 1.0108,                0.57851,                 1.5726,             0.00038705,             0.00038705,             0.00038705
                     90,                0.75662,                0.54009,                 1.2115,                0.93084,                0.87119,                0.93798,                0.67791,                 1.0446,                0.58812,                 1.6069,             0.00038105,             0.00038105,             0.00038105
                     91,                0.75191,                 0.5209,                 1.2077,                0.92387,                0.88395,                0.94152,                0.68142,                 1.0257,                0.57921,                 1.5936,             0.00037505,             0.00037505,             0.00037505
                     92,                0.75504,                0.51841,                 1.2023,                0.87665,                0.90906,                0.93384,                0.68325,                 1.0219,                0.60537,                 1.5956,             0.00036905,             0.00036905,             0.00036905
                     93,                0.75675,                0.51742,                 1.2077,                0.91139,                0.89591,                0.92782,                0.67474,                 1.0163,                  0.573,                 1.5884,             0.00036305,             0.00036305,             0.00036305
                     94,                0.74171,                0.51427,                 1.1978,                0.91952,                0.89239,                0.93222,                0.67764,                 1.0188,                0.57358,                 1.5922,             0.00035706,             0.00035706,             0.00035706
                     95,                0.73926,                0.51197,                 1.1905,                 0.9124,                0.88972,                0.93924,                0.67988,                 1.0172,                0.57186,                 1.5951,             0.00035106,             0.00035106,             0.00035106
                     96,                0.73934,                0.52782,                 1.1935,                0.90027,                0.88816,                0.93616,                 0.6739,                 1.0257,                 0.5831,                 1.5995,             0.00034506,             0.00034506,             0.00034506
                     97,                0.75162,                0.52285,                 1.1965,                 0.9003,                0.88271,                0.93582,                0.67762,                 1.0359,                0.58998,                 1.6038,             0.00033906,             0.00033906,             0.00033906
                     98,                0.72513,                0.50858,                 1.1865,                0.92919,                0.86415,                0.93639,                0.67458,                 1.0338,                0.59897,                  1.613,             0.00033306,             0.00033306,             0.00033306
                     99,                0.72289,                 0.4998,                 1.1784,                0.90992,                0.87192,                0.93899,                0.68299,                 1.0228,                0.58228,                 1.6039,             0.00032706,             0.00032706,             0.00032706
                    100,                0.73239,                0.50247,                 1.1894,                0.93035,                0.87088,                0.94073,                0.68041,                 1.0285,                0.57971,                 1.6001,             0.00032106,             0.00032106,             0.00032106
                    101,                0.72496,                0.50182,                  1.184,                0.91145,                0.86807,                0.93137,                0.67418,                 1.0254,                0.60883,                 1.6131,             0.00031506,             0.00031506,             0.00031506
                    102,                0.71491,                0.49546,                 1.1804,                0.90653,                0.88408,                0.92002,                0.66474,                 1.0279,                0.61105,                 1.6147,             0.00030906,             0.00030906,             0.00030906
                    103,                0.71103,                0.49746,                 1.1762,                0.92943,                0.88337,                0.93039,                0.67061,                 1.0213,                0.58063,                 1.5978,             0.00030306,             0.00030306,             0.00030306
                    104,                0.70881,                0.49155,                 1.1848,                0.91413,                0.87806,                0.93552,                0.67156,                 1.0348,                0.59919,                 1.6218,             0.00029706,             0.00029706,             0.00029706
                    105,                0.69529,                0.48391,                 1.1694,                0.91393,                0.88599,                0.93322,                0.67382,                 1.0316,                0.59055,                 1.6224,             0.00029106,             0.00029106,             0.00029106
                    106,                0.70133,                0.47859,                 1.1679,                0.88674,                0.90907,                0.93747,                0.67486,                 1.0349,                0.59832,                 1.6297,             0.00028506,             0.00028506,             0.00028506
                    107,                 0.6927,                0.48447,                  1.164,                0.91044,                0.87828,                0.92985,                0.66614,                 1.0342,                0.58895,                 1.6272,             0.00027906,             0.00027906,             0.00027906
                    108,                0.69342,                0.48028,                 1.1682,                0.90421,                0.89457,                0.93484,                0.67094,                 1.0389,                0.58116,                 1.6418,             0.00027306,             0.00027306,             0.00027306
