                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.39578,                0.30639,                0.85367,                0.96468,                0.97378,                 0.9903,                0.92717,                0.34953,                 0.2457,                 0.8545,             0.00049506,             0.00049506,             0.00049506
                     58,                0.38794,                 0.3039,                0.85237,                 0.9383,                0.96322,                0.98854,                0.94652,                0.34449,                0.24046,                0.85298,             0.00048406,             0.00048406,             0.00048406
                     59,                  0.389,                0.30342,                0.85473,                0.96004,                0.97747,                0.98966,                0.94689,                0.33597,                0.23666,                0.85162,             0.00047306,             0.00047306,             0.00047306
                     60,                0.38809,                0.29431,                0.84786,                 0.9704,                 0.9797,                  0.988,                0.94593,                 0.3482,                0.24198,                0.85883,             0.00046206,             0.00046206,             0.00046206
                     61,                0.38823,                0.29321,                0.84929,                0.94934,                  0.982,                0.98718,                0.94532,                0.34378,                0.23823,                 0.8575,             0.00045107,             0.00045107,             0.00045107
                     62,                0.38163,                0.28978,                0.84758,                0.96413,                0.98463,                0.98911,                0.94685,                0.35035,                 0.2375,                0.86097,             0.00044007,             0.00044007,             0.00044007
                     63,                0.38266,                0.28583,                0.84912,                0.96622,                0.97208,                0.98952,                0.93188,                0.34083,                0.23121,                0.85644,             0.00042907,             0.00042907,             0.00042907
                     64,                0.38731,                0.29428,                0.85377,                0.96389,                 0.9842,                0.99166,                0.95137,                0.33837,                0.23203,                0.85535,             0.00041807,             0.00041807,             0.00041807
                     65,                0.37854,                0.28644,                0.84383,                0.96401,                0.98977,                0.99073,                0.95178,                0.33661,                0.23224,                0.85143,             0.00040707,             0.00040707,             0.00040707
                     66,                0.37923,                0.28082,                0.84729,                0.96571,                0.98992,                0.98965,                0.95313,                0.33004,                0.22345,                0.85102,             0.00039607,             0.00039607,             0.00039607
                     67,                0.37653,                 0.2825,                0.84556,                0.96804,                0.97927,                0.98977,                0.95127,                0.33903,                 0.2242,                0.85632,             0.00038507,             0.00038507,             0.00038507
                     68,                0.36929,                0.28163,                0.84457,                0.96213,                0.98194,                0.99029,                0.95422,                0.33365,                0.22164,                0.85514,             0.00037407,             0.00037407,             0.00037407
                     69,                0.37416,                0.28108,                 0.8398,                0.96672,                0.98176,                0.99094,                0.95659,                0.33719,                0.22116,                0.85383,             0.00036307,             0.00036307,             0.00036307
                     70,                0.37296,                0.27154,                0.84668,                0.96998,                0.98052,                0.98975,                0.94932,                0.33708,                0.22129,                0.85652,             0.00035208,             0.00035208,             0.00035208
                     71,                0.36283,                0.26408,                0.84006,                0.97037,                0.97247,                0.98728,                0.95195,                0.32714,                0.22057,                0.85668,             0.00034108,             0.00034108,             0.00034108
                     72,                0.37017,                0.26206,                0.84379,                0.96176,                0.98345,                0.98813,                0.94613,                0.33336,                0.22157,                0.85755,             0.00033008,             0.00033008,             0.00033008
                     73,                0.36415,                0.26864,                0.84234,                0.96777,                0.96899,                0.98839,                0.94561,                0.33375,                0.22635,                0.85656,             0.00031908,             0.00031908,             0.00031908
                     74,                0.37024,                0.26731,                0.84343,                0.97001,                0.97932,                0.98789,                0.95041,                 0.3362,                0.22276,                0.85684,             0.00030808,             0.00030808,             0.00030808
                     75,                0.37153,                0.26384,                0.84255,                0.96631,                 0.9905,                 0.9892,                0.94144,                0.33044,                0.21812,                0.85464,             0.00029708,             0.00029708,             0.00029708
                     76,                0.35569,                0.25614,                0.84125,                0.97281,                0.98492,                0.98852,                0.95008,                0.32863,                0.21323,                0.85511,             0.00028608,             0.00028608,             0.00028608
                     77,                 0.3576,                0.25595,                0.84279,                0.97307,                0.98675,                0.98872,                0.94312,                0.32012,                0.20869,                0.85113,             0.00027508,             0.00027508,             0.00027508
                     78,                0.35284,                0.25603,                0.83619,                0.97071,                0.98374,                0.99031,                0.95403,                0.31867,                0.21462,                0.84483,             0.00026408,             0.00026408,             0.00026408
                     79,                 0.3556,                 0.2587,                0.84378,                0.97248,                0.98851,                0.98869,                0.93695,                0.32221,                0.21125,                0.84644,             0.00025309,             0.00025309,             0.00025309
                     80,                0.36044,                0.25602,                0.84087,                0.97012,                0.98675,                0.98784,                0.94263,                  0.319,                0.21229,                0.84713,             0.00024209,             0.00024209,             0.00024209
                     81,                0.34701,                 0.2471,                0.83405,                0.97294,                0.97948,                0.98837,                0.95391,                 0.3202,                0.20483,                 0.8492,             0.00023109,             0.00023109,             0.00023109
                     82,                0.34606,                0.24637,                0.83301,                0.96709,                0.96344,                0.98779,                0.95799,                0.31515,                0.21098,                0.84703,             0.00022009,             0.00022009,             0.00022009
                     83,                0.35177,                0.24943,                0.83881,                0.96899,                 0.9809,                 0.9889,                0.95735,                  0.317,                0.20092,                0.84612,             0.00020909,             0.00020909,             0.00020909
                     84,                0.34815,                0.25139,                0.83736,                0.97447,                0.98853,                0.98884,                 0.9591,                0.31735,                0.20118,                0.84283,             0.00019809,             0.00019809,             0.00019809
                     85,                0.34609,                0.24071,                0.83464,                0.97517,                0.98778,                0.98946,                0.95889,                0.31209,                0.19998,                0.84706,             0.00018709,             0.00018709,             0.00018709
                     86,                  0.337,                 0.2353,                0.83278,                0.97708,                0.99021,                0.98953,                0.95954,                 0.3152,                0.20175,                0.84612,             0.00017609,             0.00017609,             0.00017609
                     87,                0.33962,                0.24376,                0.83277,                0.97444,                0.98759,                0.98957,                0.96082,                0.30759,                0.19323,                0.84624,             0.00016509,             0.00016509,             0.00016509
                     88,                0.33783,                0.23484,                0.83714,                0.97683,                0.98991,                0.98963,                0.95934,                0.31354,                0.19745,                0.84793,              0.0001541,              0.0001541,              0.0001541
